Carrera,Carrito,Equipo,Fecha_y_ hora_Prestamo,Fecha_y_ hora_Devolucion,Modulo,Tipo_Dispositivo,Duracion_Horas_Minutos,Duracion_Minutos
MATEMATICAS APLICADAS Y COMPUTACION,C05,C17,2024-10-18 17:30:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:15,75
MATEMATICAS APLICADAS Y COMPUTACION,C01,L17,2024-10-18 17:16:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,1:29,89
ARQUITECTURA,C04,L20,2024-10-18 17:17:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,1:28,88
INGENIERIA CIVIL,C04,L18,2024-10-18 17:15:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,1:30,90
MATEMATICAS APLICADAS Y COMPUTACION,C01,L16,2024-10-18 17:12:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,1:33,93
ARQUITECTURA,C04,L15,2024-10-18 17:12:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,1:33,93
MATEMATICAS APLICADAS Y COMPUTACION,C01,L14,2024-10-18 17:10:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,1:35,95
DERECHO (SUA),C05,C16,2024-10-18 17:09:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:36,96
MATEMATICAS APLICADAS Y COMPUTACION,C01,L13,2024-10-18 17:09:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,1:36,96
MATEMATICAS APLICADAS Y COMPUTACION,C05,C15,2024-10-18 17:03:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:42,102
ARQUITECTURA,C04,L14,2024-10-18 17:08:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,1:37,97
ARQUITECTURA,C04,L11,2024-10-18 17:00:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,1:45,105
ACTUARIA,C01,L12,2024-10-18 16:53:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,1:52,112
ARQUITECTURA,C04,L09,2024-10-18 16:41:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,2:04,124
RELACIONES INTERNACIONALES,C01,C29,2024-10-18 16:44:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:01,121
ARQUITECTURA,C04,L08,2024-10-18 16:39:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,2:06,126
ARQUITECTURA,C04,L07,2024-10-18 16:38:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,2:07,127
ARQUITECTURA,C04,L04,2024-10-18 16:37:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,2:08,128
ARQUITECTURA,C04,L03,2024-10-18 16:30:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,2:15,135
ARQUITECTURA,C04,L02,2024-10-18 16:28:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,2:17,137
ARQUITECTURA,C04,L01,2024-10-18 16:19:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,2:26,146
ARQUITECTURA,C04,L02,2024-10-17 17:32:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:13,73
MATEMATICAS APLICADAS Y COMPUTACION,C01,L06,2024-10-17 17:30:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:15,75
ARQUITECTURA,C04,L01,2024-10-17 17:29:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:16,76
MATEMATICAS APLICADAS Y COMPUTACION,C01,L05,2024-10-17 17:30:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:15,75
