Carrera,Carrito,Equipo,Fecha_y_ hora_Prestamo,Fecha_y_ hora_Devolucion,Institucion,Modulo,Tipo_Dispositivo
MATEMATICAS APLICADAS Y COMPUTACION,C05,C17,10/18/24 17:30,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
MATEMATICAS APLICADAS Y COMPUTACION,C01,L17,10/18/24 17:16,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C04,L20,10/18/24 17:17,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C04,L18,10/18/24 17:15,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
PEDAGOGIA,C06,E16,10/18/24 17:14,10/18/24 18:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
MATEMATICAS APLICADAS Y COMPUTACION,C01,L16,10/18/24 17:12,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C04,L15,10/18/24 17:12,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
MATEMATICAS APLICADAS Y COMPUTACION,C01,L14,10/18/24 17:10,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
DERECHO (SUA),C05,C16,10/18/24 17:09,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
PEDAGOGIA,C06,E15,10/18/24 17:08,10/18/24 18:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
MATEMATICAS APLICADAS Y COMPUTACION,C01,L13,10/18/24 17:09,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
MATEMATICAS APLICADAS Y COMPUTACION,C05,C15,10/18/24 17:03,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ARQUITECTURA,C04,L14,10/18/24 17:08,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C04,L11,10/18/24 17:00,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
PEDAGOGIA,C06,E14,10/18/24 16:57,10/18/24 18:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
PEDAGOGIA,C06,E13,10/18/24 16:57,10/18/24 18:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
DERECHO,C06,E12,10/18/24 16:54,10/18/24 18:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ACTUARIA,C01,L12,10/18/24 16:53,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
DERECHO,C06,E11,10/18/24 16:51,10/18/24 18:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
DERECHO (SUA),C06,E09,10/18/24 16:50,10/18/24 18:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C04,L09,10/18/24 16:41,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
RELACIONES INTERNACIONALES,C01,C29,10/18/24 16:44,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ARQUITECTURA,C04,L08,10/18/24 16:39,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
COMUNICACION,C06,E08,10/18/24 16:37,10/18/24 18:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C04,L07,10/18/24 16:38,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C04,L04,10/18/24 16:37,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C04,L03,10/18/24 16:30,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C04,L02,10/18/24 16:28,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ENSEÃ‘ANZA DE INGLES,C06,E07,10/18/24 16:20,10/18/24 18:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C04,L01,10/18/24 16:19,10/18/24 18:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ENSEÃ‘ANZA DE INGLES,C06,E06,10/18/24 16:17,10/18/24 18:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ECONOMIA,C01,L11,10/18/24 16:13,10/18/24 18:43,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
PEDAGOGIA,C06,E05,10/18/24 16:01,10/18/24 18:31,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
FILOSOFIA,C06,E04,10/18/24 16:00,10/18/24 18:30,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C04,L22,10/18/24 15:59,10/18/24 18:29,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C04,L21,10/18/24 15:55,10/18/24 18:25,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ACTUARIA,C01,C28,10/18/24 15:46,10/18/24 18:16,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ARQUITECTURA,C04,L17,10/18/24 15:40,10/18/24 18:10,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
COMUNICACION,C06,E03,10/18/24 15:40,10/18/24 18:10,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ENSEÃ‘ANZA DE INGLES,C06,E02,10/18/24 15:36,10/18/24 18:06,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C04,L16,10/18/24 15:35,10/18/24 18:05,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,C05,C14,10/18/24 15:29,10/18/24 17:59,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ARQUITECTURA,C01,T04,10/18/24 15:29,10/18/24 17:59,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
MATEMATICAS APLICADAS Y COMPUTACION,C01,L10,10/18/24 15:20,10/18/24 17:50,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
RELACIONES INTERNACIONALES,C01,C27,10/18/24 15:18,10/18/24 17:48,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
DERECHO,C04,C30,10/18/24 15:19,10/18/24 17:49,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
PEDAGOGIA,C04,C29,10/18/24 15:17,10/18/24 17:47,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
DERECHO,C04,C28,10/18/24 15:16,10/18/24 17:46,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
DERECHO,C04,C27,10/18/24 15:15,10/18/24 17:45,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
MATEMATICAS APLICADAS Y COMPUTACION,C01,C26,10/18/24 15:12,10/18/24 17:42,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
