Carrera,Carrito,Equipo,Fecha_y_ hora_Prestamo,Fecha_y_ hora_Devolucion,Modulo,Tipo_Dispositivo,Duracion_Horas_Minutos,Duracion_Minutos
ARQUITECTURA,C01,T04,2024-10-18 15:29:00,2024-10-18 17:59:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T03,2024-10-18 08:18:00,2024-10-18 10:48:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T02,2024-10-18 08:04:00,2024-10-18 10:34:00,Módulo 3 CEDETEC,iPad,2:30,150
ECONOMIA,C08,E02,2024-10-16 16:08:00,2024-10-16 18:38:00,Módulo 3 CEDETEC,Chromebook,2:30,150
INGENIERIA CIVIL,C01,T15,2024-10-16 13:47:00,2024-10-16 16:17:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T14,2024-10-16 12:33:00,2024-10-16 15:03:00,Módulo 3 CEDETEC,iPad,2:30,150
COMUNICACION,C08,E01,2024-10-16 12:10:00,2024-10-16 14:40:00,Módulo 3 CEDETEC,Chromebook,2:30,150
INGENIERIA CIVIL,C01,T13,2024-10-16 12:08:00,2024-10-16 14:38:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T12,2024-10-16 12:06:00,2024-10-16 14:36:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T11,2024-10-16 12:04:00,2024-10-16 14:34:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T10,2024-10-16 12:04:00,2024-10-16 14:34:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T09,2024-10-16 12:03:00,2024-10-16 14:33:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T08,2024-10-16 12:00:00,2024-10-16 14:30:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T07,2024-10-16 11:55:00,2024-10-16 14:25:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T06,2024-10-16 11:52:00,2024-10-16 14:22:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T05,2024-10-16 11:52:00,2024-10-16 14:22:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T04,2024-10-16 11:52:00,2024-10-16 14:22:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T03,2024-10-16 11:50:00,2024-10-16 14:20:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C01,T02,2024-10-16 11:50:00,2024-10-16 14:20:00,Módulo 3 CEDETEC,iPad,2:30,150
INGENIERIA CIVIL,C08,E02,2024-10-15 13:41:00,2024-10-15 16:11:00,Módulo 3 CEDETEC,Chromebook,2:30,150
COMUNICACION,C08,E01,2024-10-15 12:34:00,2024-10-15 15:04:00,Módulo 3 CEDETEC,Chromebook,2:30,150
ACTUARIA,C08,E03,2024-10-14 12:27:00,2024-10-14 14:57:00,Módulo 3 CEDETEC,Chromebook,2:30,150
COMUNICACION,C08,E02,2024-10-14 12:00:00,2024-10-14 14:30:00,Módulo 3 CEDETEC,Chromebook,2:30,150
COMUNICACION,C08,E01,2024-10-14 10:26:00,2024-10-14 12:56:00,Módulo 3 CEDETEC,Chromebook,2:30,150
